Nombre_del_Producto,Fecha,Cantidad_de_Ventas,precio_unitario_de_venta,costo_unitario_de_compra
Apple Kg,10/01/2023,23,4.06,2.84
Banana kg,10/01/2023,23,2.51,1.58
Lettuce kg,10/01/2023,50,1.31,0.83
Soy Oil Corcovado 900ml,10/01/2023,98,3.57,2.95
"Pork ""Pernil cut"" boneless kg",10/01/2023,31,9.99,8.9
Ham kg,10/01/2023,1,19.46,12.62
Ground beef kg,10/01/2023,20,12.52,8.98
Generic Ham kg,10/01/2023,4,17.31,10.63
Sweet Bread kg,11/01/2023,3,8.97,24.05
Frozen Chicken kg,11/01/2023,20,5.89,4.5
Salsage kg,11/01/2023,6,5.99,5.1
Calabrezza Saussage kg,11/01/2023,2,13.2,9.88
Mozarella Cheese kg,11/01/2023,5,26.48,14.8
Dish Soap Ype Clear 500ml,11/01/2023,6,1.79,1.3
Dish soap Ype Neutro 500ml,11/01/2023,9,1.79,1.3
Rice Albaruska Pilao 5kg,11/01/2023,14,16.96,14.83
Powder juice Frech orange 10gr,11/01/2023,4,0.5,0.33
Tomato sauce Elefante 130g,11/01/2023,13,2.14,1.59
Coffee Mineiro 500gr,11/01/2023,5,6.69,5.5
Milky Drink Quatazinho Chocolate 200ml,11/01/2023,1,0.99,0.56
Fries JR Fritas 300g,11/01/2023,5,7.17,5.5
Coffee Mantiqueira 500g,11/01/2023,7,8.19,6.29
Coffee Santa Barbara kg,11/01/2023,3,6.89,5.24
Chicken Steak Perdigao 100gr,11/01/2023,20,1.15,0.85
Corn Flour Mimoso 1kg,11/01/2023,9,1.79,1.3
Beer Clacial 473ml,11/01/2023,44,1.99,1.91
Salt Marlin 1kg,11/01/2023,24,1.18,0.8
Soy Oil Soya 900ml,11/01/2023,8,3.62,3.25
Wheat Flour Vilma 1kg,11/01/2023,22,3.15,2.72
"Beef ""Acem cut"" kg",11/01/2023,12,18.52,12.93
Bologna Bolonha kg,11/01/2023,4,16.96,11.08
Beer Skol 473ml,11/01/2023,21,2.75,2.45
Corn Flour Moinho Dagua 1kg,11/01/2023,7,3.24,2.2
Soda Coca Cola 2lt reciclable bottle,11/01/2023,11,6.75,4.13
Soda Coca Cola 2lt,11/01/2023,1,6.65,5.69
Common Bread kg,11/01/2023,62,8.08,3.92
Tomato Kg,11/01/2023,22,4.99,3.5
Potato kg,11/01/2023,22,4.66,2.8
Zucchini kg,11/01/2023,8,1.69,1.11
Cabbage kg,11/01/2023,3,2.49,1.66
Beetroot kg,11/01/2023,6,3.75,2.5
Yam kg,11/01/2023,6,3.4,2
Green Pepper kg,11/01/2023,5,3.79,2.5
Sweet potato kg,11/01/2023,11,1.99,1.25
Carrots kg,11/01/2023,9,3.38,2.25
Pumpkin kg,11/01/2023,11,1.49,1
Oranges kg,11/01/2023,18,2.65,1.8
Garlic Kg,11/01/2023,7,14.95,10.5
Onion Kg,11/01/2023,23,2.84,1.9
Apple Kg,11/01/2023,24,4.03,2.78
Banana kg,11/01/2023,4,2.49,1.5
Lettuce kg,11/01/2023,30,1.32,0.85
Soy Oil Corcovado 900ml,11/01/2023,17,3.44,2.99
"Pork ""Pernil cut"" boneless kg",11/01/2023,16,9.99,7.93
Sweet Bread kg,12/01/2023,9,9.22,2.33
Frozen Chicken kg,12/01/2023,53,6.22,4.5
Salsage kg,12/01/2023,20,6.32,5.1
Calabrezza Saussage kg,12/01/2023,3,13.77,9.88
Mozarella Cheese kg,12/01/2023,5,26.65,14.8
Dish Soap Ype Clear 500ml,12/01/2023,7,1.85,1.3
Dish Soap Ype Apple 500ml,12/01/2023,2,1.89,1.3
Dish soap Ype Neutro 500ml,12/01/2023,5,1.87,1.3
Rice Albaruska Pilao 5kg,12/01/2023,14,18.03,14.83
Powder juice Frech orange 10gr,12/01/2023,5,0.5,0.33
Tomato sauce Elefante 130g,12/01/2023,6,2.15,1.59
Coffee Mineiro 500gr,12/01/2023,8,6.83,5.5
Milky Drink Quatazinho Chocolate 200ml,12/01/2023,12,0.99,0.56
Fries JR Fritas 300g,12/01/2023,2,7.74,5.5
Coffee Mantiqueira 500g,12/01/2023,20,9.2,6.29
Coffee Santa Barbara kg,12/01/2023,24,7.3,5.24
Chicken Steak Perdigao 100gr,12/01/2023,20,1.15,0.85
Corn Flour Mimoso 1kg,12/01/2023,32,1.83,1.3
Beer Clacial 473ml,12/01/2023,34,1.99,1.91
Salt Marlin 1kg,12/01/2023,25,1.25,0.8
Soy Oil Soya 900ml,12/01/2023,16,3.73,3.25
Wheat Flour Vilma 1kg,12/01/2023,35,3.09,2.72
"Beef ""Acem cut"" kg",12/01/2023,12,18.74,12.93
Bologna Bolonha kg,12/01/2023,2,16.98,11.08
Beer Skol 473ml,12/01/2023,14,2.73,2.45
Corn Flour Moinho Dagua 1kg,12/01/2023,14,3.33,2.2
Soda Coca Cola 2lt reciclable bottle,12/01/2023,6,6.67,4.13
Common Bread kg,12/01/2023,67,8.14,3.92
Tomato Kg,12/01/2023,44,5.04,3.5
Potato kg,12/01/2023,55,4.31,2.8
Zucchini kg,12/01/2023,12,2.15,1.38
Cabbage kg,12/01/2023,10,2.49,1.66
Beetroot kg,12/01/2023,7,3.54,2.25
Yam kg,12/01/2023,10,2.8,1.75
Green Pepper kg,12/01/2023,6,3.8,2.5
Sweet potato kg,12/01/2023,14,2.18,1.25
Carrots kg,12/01/2023,18,3.48,2.25
Pumpkin kg,12/01/2023,22,1.49,1
Oranges kg,12/01/2023,20,2.67,1.8
Garlic Kg,12/01/2023,7,16.08,10.5
Onion Kg,12/01/2023,38,3,1.9
Apple Kg,12/01/2023,20,4.05,2.78
Banana kg,12/01/2023,34,2.53,1.5
Lettuce kg,12/01/2023,57,1.3,0.85
Soy Oil Corcovado 900ml,12/01/2023,24,3.3,2.99
"Pork ""Pernil cut"" boneless kg",12/01/2023,10,9.98,6.57
Sweet Bread kg,13/01/2023,6,8.97,2.28
Frozen Chicken kg,13/01/2023,40,6.18,4.5
Salsage kg,13/01/2023,24,6,5.1
Calabrezza Saussage kg,13/01/2023,3,13.44,9.88
Mozarella Cheese kg,13/01/2023,7,26.67,14.8
Dish Soap Ype Clear 500ml,13/01/2023,11,1.86,1.3
Dish Soap Ype Apple 500ml,13/01/2023,4,1.8,1.3
Dish soap Ype Neutro 500ml,13/01/2023,8,1.8,1.3
Rice Albaruska Pilao 5kg,13/01/2023,22,17.15,14.83
Powder juice Frech orange 10gr,13/01/2023,14,0.5,0.33
Tomato sauce Elefante 130g,13/01/2023,7,2.16,1.59
Coffee Mineiro 500gr,13/01/2023,8,6.69,5.5
Instant Pasta Nissin Chicken 85gr,13/01/2023,3,1.56,1.11
Milky Drink Quatazinho Chocolate 200ml,13/01/2023,23,1.1,0.56
Fries JR Fritas 300g,13/01/2023,9,7.23,5.5
Coffee Mantiqueira 500g,13/01/2023,37,8.31,6.29
Coffee Santa Barbara kg,13/01/2023,17,7.12,5.24
Chicken Steak Perdigao 100gr,13/01/2023,30,1.15,0.85
Corn Flour Mimoso 1kg,13/01/2023,38,1.82,1.3
Beer Clacial 473ml,13/01/2023,68,1.99,1.91
Salt Marlin 1kg,13/01/2023,32,1.16,0.8
Soy Oil Soya 900ml,13/01/2023,20,3.62,3.25
Wheat Flour Vilma 1kg,13/01/2023,14,3.01,2.72
"Beef ""Acem cut"" kg",13/01/2023,12,18.57,12.93
Bologna Bolonha kg,13/01/2023,3,17.12,11.08
Beer Skol 473ml,13/01/2023,35,2.79,2.45
Corn Flour Moinho Dagua 1kg,13/01/2023,8,3.26,2.2
Soda Coca Cola 2lt reciclable bottle,13/01/2023,9,6.78,4.13
Common Bread kg,13/01/2023,68,8.07,3.92
Tomato Kg,13/01/2023,47,5.06,3.5
Potato kg,13/01/2023,33,4.24,2.8
Zucchini kg,13/01/2023,10,2.1,1.38
Cabbage kg,13/01/2023,12,2.54,1.66
Beetroot kg,13/01/2023,14,3.53,2.5
Yam kg,13/01/2023,22,2.7,2
Green Pepper kg,13/01/2023,5,3.84,2.5
Sweet potato kg,13/01/2023,16,2.01,1.25
Carrots kg,13/01/2023,13,3.56,2.25
Pumpkin kg,13/01/2023,41,1.5,1
Oranges kg,13/01/2023,7,2.65,1.8
Garlic Kg,13/01/2023,16,15.11,10.5
Onion Kg,13/01/2023,41,2.89,1.9
Apple Kg,13/01/2023,23,4.06,2.78
Banana kg,13/01/2023,31,2.52,1.5
Lettuce kg,13/01/2023,59,1.32,0.85
Soy Oil Corcovado 900ml,13/01/2023,12,3.3,2.99
"Pork ""Pernil cut"" boneless kg",13/01/2023,31,10,6.57
Sweet Bread kg,14/01/2023,9,9.04,2.28
Frozen Chicken kg,14/01/2023,86,6.04,4.5
Salsage kg,14/01/2023,35,6.03,5.1
Calabrezza Saussage kg,14/01/2023,11,13.38,9.88
Mozarella Cheese kg,14/01/2023,8,26.45,14.8
Dish Soap Ype Clear 500ml,14/01/2023,14,1.86,1.3
Dish Soap Ype Apple 500ml,14/01/2023,10,1.83,1.3
Dish soap Ype Neutro 500ml,14/01/2023,19,1.82,1.3
Rice Albaruska Pilao 5kg,14/01/2023,12,17.03,14.83
Powder juice Frech orange 10gr,14/01/2023,29,0.5,0.33
Tomato sauce Elefante 130g,14/01/2023,9,2.25,1.59
Coffee Mineiro 500gr,14/01/2023,31,6.92,5.5
Instant Pasta Nissin Chicken 85gr,14/01/2023,15,1.56,1.11
Milky Drink Quatazinho Chocolate 200ml,14/01/2023,15,0.99,0.56
Fries JR Fritas 300g,14/01/2023,8,8.15,5.5
Coffee Mantiqueira 500g,14/01/2023,21,8.2,6.29
Coffee Santa Barbara kg,14/01/2023,6,6.89,5.24
Chicken Steak Perdigao 100gr,14/01/2023,51,1.18,0.85
Corn Flour Mimoso 1kg,14/01/2023,42,1.83,1.3
Beer Clacial 473ml,14/01/2023,96,2.07,1.91
Salt Marlin 1kg,14/01/2023,43,1.17,0.8
Soy Oil Soya 900ml,14/01/2023,15,3.7,3.25
Wheat Flour Vilma 1kg,14/01/2023,26,3.04,2.72
"Beef ""Acem cut"" kg",14/01/2023,27,18.66,12.93
Bologna Bolonha kg,14/01/2023,3,16.67,11.08
Beer Skol 473ml,14/01/2023,61,2.79,2.45
Corn Flour Moinho Dagua 1kg,14/01/2023,11,3.25,2.2
Soda Coca Cola 2lt reciclable bottle,14/01/2023,20,6.5,4.13
Common Bread kg,14/01/2023,77,7.99,3.92
Tomato Kg,14/01/2023,69,5.06,3.5
Potato kg,14/01/2023,44,4.27,2.8
Zucchini kg,14/01/2023,4,2.26,1.38
Cabbage kg,14/01/2023,20,2.56,1.66
Beetroot kg,14/01/2023,4,3.58,2.5
Yam kg,14/01/2023,11,2.75,2
Green Pepper kg,14/01/2023,8,3.86,2.5
Sweet potato kg,14/01/2023,12,2.07,1.25
Carrots kg,14/01/2023,27,3.48,2.25
Pumpkin kg,14/01/2023,23,1.51,1
Oranges kg,14/01/2023,4,2.67,1.8
Garlic Kg,14/01/2023,15,15.47,10.5
Onion Kg,14/01/2023,38,2.9,1.9
Apple Kg,14/01/2023,18,4.16,2.78
Banana kg,14/01/2023,41,2.53,1.5
Lettuce kg,14/01/2023,50,1.32,0.85
Soy Oil Corcovado 900ml,14/01/2023,38,3.43,2.99
"Pork ""Pernil cut"" boneless kg",14/01/2023,43,10.15,8.9
Sweet Bread kg,15/01/2023,2,8.99,2.28
Frozen Chicken kg,15/01/2023,22,5.98,4.5
Salsage kg,15/01/2023,8,5.96,5.1
Calabrezza Saussage kg,15/01/2023,3,13.25,9.88
Mozarella Cheese kg,15/01/2023,13,26.46,14.8
Dish Soap Ype Clear 500ml,15/01/2023,5,1.79,1.3
Dish soap Ype Neutro 500ml,15/01/2023,3,1.78,1.3
Rice Albaruska Pilao 5kg,15/01/2023,7,16.95,14.83
Tomato sauce Elefante 130g,15/01/2023,9,2.38,1.59
Coffee Mineiro 500gr,15/01/2023,12,6.7,5.5
Instant Pasta Nissin Chicken 85gr,15/01/2023,2,1.55,1.11
Milky Drink Quatazinho Chocolate 200ml,15/01/2023,19,0.96,0.56
Fries JR Fritas 300g,15/01/2023,14,7.2,5.5
Coffee Mantiqueira 500g,15/01/2023,6,9.22,6.29
Coffee Santa Barbara kg,15/01/2023,11,6.83,5.24
Chicken Steak Perdigao 100gr,15/01/2023,16,1.16,0.85
Corn Flour Mimoso 1kg,15/01/2023,9,1.87,1.3
Beer Clacial 473ml,15/01/2023,67,1.98,1.91
Salt Marlin 1kg,15/01/2023,10,1.18,0.8
Soy Oil Soya 900ml,15/01/2023,4,3.59,3.25
Wheat Flour Vilma 1kg,15/01/2023,10,2.99,2.72
"Beef ""Acem cut"" kg",15/01/2023,13,21.03,12.93
Bologna Bolonha kg,15/01/2023,2,16.97,11.08
Beer Skol 473ml,15/01/2023,31,2.73,2.45
Corn Flour Moinho Dagua 1kg,15/01/2023,2,3.25,2.2
Soda Coca Cola 2lt reciclable bottle,15/01/2023,31,6.59,4.13
Common Bread kg,15/01/2023,47,8,3.92
Tomato Kg,15/01/2023,23,5.27,3.5
Potato kg,15/01/2023,28,4.64,2.8
Zucchini kg,15/01/2023,3,2.09,1.38
Cabbage kg,15/01/2023,6,2.55,1.66
Beetroot kg,15/01/2023,3,5.43,2.5
Yam kg,15/01/2023,2,2.69,2
Green Pepper kg,15/01/2023,7,4.09,2.5
Sweet potato kg,15/01/2023,10,2.04,1.25
Carrots kg,15/01/2023,10,3.44,2.25
Pumpkin kg,15/01/2023,3,1.49,1
Oranges kg,15/01/2023,8,2.65,1.8
Garlic Kg,15/01/2023,6,15.39,10.5
Onion Kg,15/01/2023,17,2.89,1.9
Apple Kg,15/01/2023,9,3.99,2.78
Banana kg,15/01/2023,18,2.48,1.5
Lettuce kg,15/01/2023,1,1.3,0.85
Soy Oil Corcovado 900ml,15/01/2023,17,3.49,2.99
"Pork ""Pernil cut"" boneless kg",15/01/2023,17,11.92,8.9
Sweet Bread kg,16/01/2023,8,9.34,2.28
Frozen Chicken kg,16/01/2023,36,6.03,4.9
Salsage kg,16/01/2023,23,6.05,5.1
Calabrezza Saussage kg,16/01/2023,6,13.78,9.88
Mozarella Cheese kg,16/01/2023,4,23.66,14.8
Dish Soap Ype Clear 500ml,16/01/2023,8,2.04,1.3
Dish Soap Ype Apple 500ml,16/01/2023,7,1.91,1.3
Dish soap Ype Neutro 500ml,16/01/2023,11,1.84,1.3
Rice Albaruska Pilao 5kg,16/01/2023,30,17.38,14.83
Powder juice Frech orange 10gr,16/01/2023,7,0.5,0.33
Tomato sauce Elefante 130g,16/01/2023,11,2.27,1.59
Coffee Mineiro 500gr,16/01/2023,16,6.94,5.5
Instant Pasta Nissin Chicken 85gr,16/01/2023,8,1.55,1.11
Milky Drink Quatazinho Chocolate 200ml,16/01/2023,16,0.99,0.56
Fries JR Fritas 300g,16/01/2023,9,7.43,5.5
Coffee Mantiqueira 500g,16/01/2023,16,8.4,6.29
Coffee Santa Barbara kg,16/01/2023,18,7.07,5.24
Chicken Steak Perdigao 100gr,16/01/2023,10,1.15,0.85
Corn Flour Mimoso 1kg,16/01/2023,33,1.91,1.3
Beer Clacial 473ml,16/01/2023,14,1.99,1.95
Salt Marlin 1kg,16/01/2023,50,1.21,0.8
Soy Oil Soya 900ml,16/01/2023,4,3.59,3.25
Wheat Flour Vilma 1kg,16/01/2023,47,3.05,2.72
"Beef ""Acem cut"" kg",16/01/2023,17,19.04,12.63
Bologna Bolonha kg,16/01/2023,3,17,11.08
Beer Skol 473ml,16/01/2023,7,2.79,2.45
Corn Flour Moinho Dagua 1kg,16/01/2023,21,3.65,2.2
Soda Coca Cola 2lt reciclable bottle,16/01/2023,4,5.86,4.13
Common Bread kg,16/01/2023,80,8.05,3.92
Tomato Kg,16/01/2023,48,5.08,3.5
Potato kg,16/01/2023,41,4.3,2.8
Zucchini kg,16/01/2023,9,2.14,1.38
Cabbage kg,16/01/2023,10,2.53,1.66
Beetroot kg,16/01/2023,13,3.13,2
Yam kg,16/01/2023,21,2.71,2
Green Pepper kg,16/01/2023,5,3.95,2.5
Sweet potato kg,16/01/2023,15,2,1.25
Carrots kg,16/01/2023,20,4.46,3
Pumpkin kg,16/01/2023,32,1.52,1
Oranges kg,16/01/2023,14,2.64,1.8
Garlic Kg,16/01/2023,14,15.5,10.5
Onion Kg,16/01/2023,31,2.92,1.9
Apple Kg,16/01/2023,18,4.03,2.78
Banana kg,16/01/2023,24,2.49,1.5
Lettuce kg,16/01/2023,61,1.32,0.83
Soy Oil Corcovado 900ml,16/01/2023,46,3.4,2.99
"Pork ""Pernil cut"" boneless kg",16/01/2023,24,12.02,8.9
Sweet Bread kg,17/01/2023,7,8.98,2.28
Frozen Chicken kg,17/01/2023,42,6.61,4.9
Salsage kg,17/01/2023,12,6.1,5.1
Calabrezza Saussage kg,17/01/2023,7,13.4,9.88
Mozarella Cheese kg,17/01/2023,9,22.73,14.8
Dish Soap Ype Clear 500ml,17/01/2023,16,1.91,1.3
Dish Soap Ype Apple 500ml,17/01/2023,2,1.81,1.3
Dish soap Ype Neutro 500ml,17/01/2023,9,1.83,1.3
Rice Albaruska Pilao 5kg,17/01/2023,24,17.9,14.83
Powder juice Frech orange 10gr,17/01/2023,11,0.55,0.33
Tomato sauce Elefante 130g,17/01/2023,56,2.23,1.59
Coffee Mineiro 500gr,17/01/2023,9,6.7,5.5
Instant Pasta Nissin Chicken 85gr,17/01/2023,4,1.55,0.99
Milky Drink Quatazinho Chocolate 200ml,17/01/2023,10,0.99,0.56
Fries JR Fritas 300g,17/01/2023,11,7.64,5.5
Coffee Mantiqueira 500g,17/01/2023,41,8.44,6.29
Coffee Santa Barbara kg,17/01/2023,12,7.21,5.24
Chicken Steak Perdigao 100gr,17/01/2023,28,1.15,0.85
Corn Flour Mimoso 1kg,17/01/2023,27,1.93,1.3
Beer Clacial 473ml,17/01/2023,27,1.99,1.95
Salt Marlin 1kg,17/01/2023,47,1.18,0.8
Wheat Flour Vilma 1kg,17/01/2023,27,3.01,2.72
"Beef ""Acem cut"" kg",17/01/2023,17,18.81,12.63
Bologna Bolonha kg,17/01/2023,2,16.58,11.08
Beer Skol 473ml,17/01/2023,13,2.72,2.42
Corn Flour Moinho Dagua 1kg,17/01/2023,26,3.32,2.2
Soda Coca Cola 2lt reciclable bottle,17/01/2023,8,6.31,4.13
Common Bread kg,17/01/2023,86,8.3,3.92
Tomato Kg,17/01/2023,58,5.18,3.5
Potato kg,17/01/2023,17,4.31,2.8
Zucchini kg,17/01/2023,17,2.09,1.38
Cabbage kg,17/01/2023,10,2.5,1.66
Beetroot kg,17/01/2023,16,3.01,2
Yam kg,17/01/2023,16,2.73,2
Green Pepper kg,17/01/2023,7,3.89,2.5
Sweet potato kg,17/01/2023,11,2.12,1.25
Carrots kg,17/01/2023,32,4.69,3
Pumpkin kg,17/01/2023,51,1.5,1
Oranges kg,17/01/2023,12,2.65,1.8
Garlic Kg,17/01/2023,15,15.56,10.5
Onion Kg,17/01/2023,62,3,1.9
Apple Kg,17/01/2023,38,4.34,2.78
Banana kg,17/01/2023,14,2.49,1.5
Lettuce kg,17/01/2023,77,1.35,0.85
Soy Oil Corcovado 900ml,17/01/2023,23,3.45,2.99
"Pork ""Pernil cut"" boneless kg",17/01/2023,15,12.21,8.9
Sweet Bread kg,18/01/2023,8,8.98,2.28
Frozen Chicken kg,18/01/2023,49,6.49,4.9
Salsage kg,18/01/2023,19,6.11,5.1
Calabrezza Saussage kg,18/01/2023,5,13.79,9.88
Mozarella Cheese kg,18/01/2023,7,22.73,14.8
Dish Soap Ype Clear 500ml,18/01/2023,22,1.8,1.3
Dish Soap Ype Apple 500ml,18/01/2023,24,1.82,1.3
Dish soap Ype Neutro 500ml,18/01/2023,1,1.79,1.3
Rice Albaruska Pilao 5kg,18/01/2023,19,17.36,14.83
Powder juice Frech orange 10gr,18/01/2023,29,0.52,0.33
Tomato sauce Elefante 130g,18/01/2023,29,2.22,1.59
Coffee Mineiro 500gr,18/01/2023,11,7.69,5.5
Instant Pasta Nissin Chicken 85gr,18/01/2023,9,1.55,0.99
Milky Drink Quatazinho Chocolate 200ml,18/01/2023,13,0.99,0.56
Fries JR Fritas 300g,18/01/2023,12,7.55,5.5
Coffee Mantiqueira 500g,18/01/2023,36,8.93,6.29
Coffee Santa Barbara kg,18/01/2023,15,6.95,5.24
Chicken Steak Perdigao 100gr,18/01/2023,30,1.15,0.85
Corn Flour Mimoso 1kg,18/01/2023,26,1.99,1.3
Beer Clacial 473ml,18/01/2023,23,1.99,1.95
Salt Marlin 1kg,18/01/2023,43,1.19,0.8
Wheat Flour Vilma 1kg,18/01/2023,46,3.21,2.7
"Beef ""Acem cut"" kg",18/01/2023,11,18.94,12.63
Bologna Bolonha kg,18/01/2023,2,17.14,11.08
Beer Skol 473ml,18/01/2023,7,2.79,2.42
Corn Flour Moinho Dagua 1kg,18/01/2023,18,3.88,2.2
Soda Coca Cola 2lt reciclable bottle,18/01/2023,10,7.12,4.13
Common Bread kg,18/01/2023,76,8.09,3.92
Tomato Kg,18/01/2023,71,5.13,3.5
Potato kg,18/01/2023,60,4.29,2.8
Zucchini kg,18/01/2023,11,2.21,1.38
Cabbage kg,18/01/2023,20,2.51,1.66
Beetroot kg,18/01/2023,12,3.08,2
Yam kg,18/01/2023,26,2.82,2
Green Pepper kg,18/01/2023,9,3.94,2.5
Sweet potato kg,18/01/2023,20,2.03,1.25
Carrots kg,18/01/2023,18,4.65,3
Pumpkin kg,18/01/2023,28,1.58,1
Oranges kg,18/01/2023,8,2.74,1.8
Garlic Kg,18/01/2023,16,15.41,10.5
Onion Kg,18/01/2023,48,2.98,1.9
Apple Kg,18/01/2023,21,4.24,2.78
Banana kg,18/01/2023,25,2.49,1.5
Lettuce kg,18/01/2023,51,1.32,0.85
Soy Oil Corcovado 900ml,18/01/2023,36,3.43,2.99
"Pork ""Pernil cut"" boneless kg",18/01/2023,10,12.49,8.9
Sweet Bread kg,19/01/2023,10,9.05,25.86
Frozen Chicken kg,19/01/2023,74,6.49,4.9
Salsage kg,19/01/2023,17,5.99,5.1
Calabrezza Saussage kg,19/01/2023,8,13.6,9.88
Mozarella Cheese kg,19/01/2023,5,22.68,14.8
Dish Soap Ype Clear 500ml,19/01/2023,7,1.98,1.3
Dish Soap Ype Apple 500ml,19/01/2023,2,1.8,1.3
Dish soap Ype Neutro 500ml,19/01/2023,11,1.85,1.3
Rice Albaruska Pilao 5kg,19/01/2023,17,17.97,14.83
Powder juice Frech orange 10gr,19/01/2023,6,0.5,0.33
Tomato sauce Elefante 130g,19/01/2023,6,2.15,1.59
Coffee Mineiro 500gr,19/01/2023,17,7.16,5.5
Instant Pasta Nissin Chicken 85gr,19/01/2023,5,1.55,0.99
Milky Drink Quatazinho Chocolate 200ml,19/01/2023,12,0.99,0.56
Fries JR Fritas 300g,19/01/2023,11,7.48,5.5
Coffee Mantiqueira 500g,19/01/2023,20,8.23,6.29
Coffee Santa Barbara kg,19/01/2023,18,6.89,5.24
Chicken Steak Perdigao 100gr,19/01/2023,44,1.15,0.85
Corn Flour Mimoso 1kg,19/01/2023,31,1.83,1.3
Beer Clacial 473ml,19/01/2023,40,1.99,1.95
Salt Marlin 1kg,19/01/2023,33,1.24,0.8
Soy Oil Soya 900ml,19/01/2023,13,3.58,3.25
Wheat Flour Vilma 1kg,19/01/2023,46,3.3,2.7
"Beef ""Acem cut"" kg",19/01/2023,18,19.17,12.93
Bologna Bolonha kg,19/01/2023,2,16.88,11.08
Beer Skol 473ml,19/01/2023,10,2.79,2.42
Corn Flour Moinho Dagua 1kg,19/01/2023,20,3.44,2.2
Soda Coca Cola 2lt reciclable bottle,19/01/2023,5,6.82,4.13
Common Bread kg,19/01/2023,72,8.03,3.92
Tomato Kg,19/01/2023,44,5.6,4
Potato kg,19/01/2023,33,4.32,2.8
Zucchini kg,19/01/2023,7,2.51,1.66
Cabbage kg,19/01/2023,15,2.58,1.88
Beetroot kg,19/01/2023,7,3.09,2
Yam kg,19/01/2023,15,2.74,1.75
Green Pepper kg,19/01/2023,6,3.13,2
Sweet potato kg,19/01/2023,13,2.1,1.25
Carrots kg,19/01/2023,19,4.58,3
Pumpkin kg,19/01/2023,36,1.51,1
Oranges kg,19/01/2023,8,2.65,1.8
Garlic Kg,19/01/2023,12,16.02,10.5
Onion Kg,19/01/2023,38,2.97,1.9
Apple Kg,19/01/2023,23,4.07,2.78
Banana kg,19/01/2023,31,2.5,1.5
Lettuce kg,19/01/2023,37,1.31,0.85
Soy Oil Corcovado 900ml,19/01/2023,21,3.6,2.99
"Pork ""Pernil cut"" boneless kg",19/01/2023,8,12.05,6.87
Sweet Bread kg,20/01/2023,11,8.97,25.86
Frozen Chicken kg,20/01/2023,50,6.54,4.9
Salsage kg,20/01/2023,17,6.17,5.1
Calabrezza Saussage kg,20/01/2023,15,13.71,9.88
Mozarella Cheese kg,20/01/2023,9,22.88,14.8
Dish Soap Ype Clear 500ml,20/01/2023,15,1.85,1.3
Dish Soap Ype Apple 500ml,20/01/2023,2,1.79,1.3
Dish soap Ype Neutro 500ml,20/01/2023,10,1.84,1.3
Rice Albaruska Pilao 5kg,20/01/2023,16,18.08,14.83
Powder juice Frech orange 10gr,20/01/2023,15,0.5,0.33
Tomato sauce Elefante 130g,20/01/2023,12,2.29,1.59
Coffee Mineiro 500gr,20/01/2023,34,6.83,5.5
Instant Pasta Nissin Chicken 85gr,20/01/2023,3,1.55,0.99
Milky Drink Quatazinho Chocolate 200ml,20/01/2023,2,0.99,0.56
Fries JR Fritas 300g,20/01/2023,16,7.48,5.51
Coffee Mantiqueira 500g,20/01/2023,18,8.21,6.29
Coffee Santa Barbara kg,20/01/2023,10,7.67,5.24
Chicken Steak Perdigao 100gr,20/01/2023,43,1.19,0.85
Corn Flour Mimoso 1kg,20/01/2023,49,1.81,1.3
Beer Clacial 473ml,20/01/2023,33,1.99,1.95
Salt Marlin 1kg,20/01/2023,33,1.19,0.8
Soy Oil Soya 900ml,20/01/2023,2,3.59,3.25
Wheat Flour Vilma 1kg,20/01/2023,58,3.39,2.7
"Beef ""Acem cut"" kg",20/01/2023,23,19.03,12.93
Bologna Bolonha kg,20/01/2023,5,16.99,11.08
Beer Skol 473ml,20/01/2023,23,2.76,2.42
Corn Flour Moinho Dagua 1kg,20/01/2023,19,3.25,2.2
Soda Coca Cola 2lt reciclable bottle,20/01/2023,15,7.09,4.13
Common Bread kg,20/01/2023,74,8.08,3.92
Tomato Kg,20/01/2023,58,5.7,4
Potato kg,20/01/2023,66,4.23,2.8
Zucchini kg,20/01/2023,9,2.6,1.66
Cabbage kg,20/01/2023,8,2.57,1.88
Beetroot kg,20/01/2023,12,3.01,2
Yam kg,20/01/2023,21,2.83,1.75
Green Pepper kg,20/01/2023,10,3.09,2
Sweet potato kg,20/01/2023,16,2.01,1.25
Carrots kg,20/01/2023,27,4.63,3
Pumpkin kg,20/01/2023,54,1.52,1
Oranges kg,20/01/2023,11,2.74,1.8
Garlic Kg,20/01/2023,14,15.59,10.5
Onion Kg,20/01/2023,49,2.99,1.9
Apple Kg,20/01/2023,18,4.09,2.78
Banana kg,20/01/2023,24,2.56,1.5
Lettuce kg,20/01/2023,26,1.31,0.85
Soy Oil Corcovado 900ml,20/01/2023,37,3.3,2.99
"Pork ""Pernil cut"" boneless kg",20/01/2023,39,12.29,6.87
Sweet Bread kg,21/01/2023,9,8.97,25.86
Frozen Chicken kg,21/01/2023,140,6.43,4.9
Salsage kg,21/01/2023,23,6.8,5.28
Calabrezza Saussage kg,21/01/2023,6,13.76,9.88
Mozarella Cheese kg,21/01/2023,17,29.02,19.48
Dish Soap Ype Clear 500ml,21/01/2023,27,1.79,1.3
Dish soap Ype Neutro 500ml,21/01/2023,26,1.86,1.3
